HIPPO, 307
-34.5,46.5,-7.5
34.5,43.5,-7.5
31.5,43.5,-7.5
25.5,43.5,-7.5
22.5,43.5,-7.5
19.5,43.5,-7.5
-31.5,43.5,-7.5
-34.5,43.5,-7.5
34.5,40.5,-7.5
31.5,40.5,-7.5
28.5,40.5,-7.5
25.5,40.5,-7.5
22.5,40.5,-7.5
19.5,40.5,-7.5
-22.5,40.5,-7.5
-25.5,40.5,-7.5
-28.5,40.5,-7.5
-31.5,40.5,-7.5
-34.5,40.5,-7.5
37.5,37.5,-7.5
34.5,37.5,-7.5
31.5,37.5,-7.5
-28.5,37.5,-7.5
-31.5,37.5,-7.5
-34.5,37.5,-7.5
-31.5,34.5,-7.5
IPS, 125
28.5,73.5,22.5
25.5,73.5,22.5
25.5,76.5,25.5
28.5,73.5,25.5
25.5,73.5,25.5
28.5,70.5,25.5
25.5,76.5,28.5
28.5,73.5,28.5
25.5,73.5,28.5
28.5,70.5,28.5
25.5,70.5,28.5
-28.5,70.5,28.5
25.5,79.5,31.5
28.5,76.5,31.5
25.5,76.5,31.5
28.5,73.5,31.5
25.5,73.5,31.5
28.5,70.5,31.5
25.5,70.5,31.5
-28.5,70.5,31.5
-31.5,70.5,31.5
25.5,67.5,31.5
-28.5,67.5,31.5
-31.5,67.5,31.5
-28.5,64.5,31.5
28.5,79.5,34.5
25.5,79.5,34.5
28.5,76.5,34.5
25.5,76.5,34.5
28.5,73.5,34.5
25.5,73.5,34.5
-28.5,73.5,34.5
-31.5,73.5,34.5
25.5,70.5,34.5
22.5,70.5,34.5
-28.5,70.5,34.5
-31.5,70.5,34.5
22.5,67.5,34.5
-25.5,67.5,34.5
-28.5,67.5,34.5
-25.5,64.5,34.5
25.5,82.5,37.5
28.5,79.5,37.5
25.5,79.5,37.5
28.5,76.5,37.5
25.5,76.5,37.5
-28.5,76.5,37.5
-31.5,76.5,37.5
25.5,73.5,37.5
22.5,73.5,37.5
-25.5,73.5,37.5
-28.5,73.5,37.5
-31.5,73.5,37.5
22.5,70.5,37.5
-25.5,70.5,37.5
-28.5,70.5,37.5
22.5,67.5,37.5
-25.5,67.5,37.5
-25.5,64.5,37.5
28.5,82.5,40.5
25.5,82.5,40.5
28.5,79.5,40.5
25.5,79.5,40.5
25.5,76.5,40.5
22.5,76.5,40.5
-25.5,76.5,40.5
-28.5,76.5,40.5
22.5,73.5,40.5
-25.5,73.5,40.5
-28.5,73.5,40.5
22.5,70.5,40.5
19.5,70.5,40.5
-25.5,70.5,40.5
22.5,67.5,40.5
19.5,67.5,40.5
-25.5,67.5,40.5
25.5,82.5,43.5
25.5,79.5,43.5
-28.5,79.5,43.5
22.5,76.5,43.5
-25.5,76.5,43.5
-28.5,76.5,43.5
22.5,73.5,43.5
-25.5,73.5,43.5
-28.5,73.5,43.5
22.5,70.5,43.5
19.5,70.5,43.5
-22.5,70.5,43.5
-25.5,70.5,43.5
22.5,67.5,43.5
19.5,67.5,43.5
-19.5,67.5,43.5
-22.5,67.5,43.5
-19.5,64.5,43.5
25.5,82.5,46.5
-25.5,82.5,46.5
-28.5,82.5,46.5
25.5,79.5,46.5
-25.5,79.5,46.5
-28.5,79.5,46.5
25.5,76.5,46.5
22.5,76.5,46.5
-25.5,76.5,46.5
-28.5,76.5,46.5
22.5,73.5,46.5
19.5,73.5,46.5
-22.5,73.5,46.5
-25.5,73.5,46.5
-28.5,73.5,46.5
22.5,70.5,46.5
19.5,70.5,46.5
-19.5,70.5,46.5
-22.5,70.5,46.5
19.5,67.5,46.5
-19.5,67.5,46.5
-22.5,67.5,46.5
-25.5,82.5,49.5
-25.5,79.5,49.5
-28.5,79.5,49.5
-22.5,76.5,49.5
-25.5,76.5,49.5
-22.5,73.5,49.5
-25.5,73.5,49.5
-19.5,70.5,49.5
-22.5,76.5,52.5
RSC, 75
10.5,49.5,1.5
7.5,49.5,1.5
10.5,46.5,1.5
7.5,46.5,1.5
-7.5,46.5,1.5
-10.5,46.5,1.5
-13.5,46.5,1.5
7.5,43.5,1.5
-7.5,43.5,1.5
-10.5,43.5,1.5
-13.5,43.5,1.5
10.5,49.5,4.5
7.5,49.5,4.5
-7.5,49.5,4.5
10.5,46.5,4.5
7.5,46.5,4.5
-7.5,46.5,4.5
-10.5,46.5,4.5
-13.5,46.5,4.5
10.5,43.5,4.5
7.5,43.5,4.5
-7.5,43.5,4.5
-10.5,43.5,4.5
-4.5,52.5,7.5
7.5,49.5,7.5
-4.5,49.5,7.5
-7.5,49.5,7.5
10.5,46.5,7.5
7.5,46.5,7.5
-7.5,46.5,7.5
10.5,43.5,7.5
7.5,43.5,7.5
-7.5,43.5,7.5
-10.5,43.5,7.5
-7.5,40.5,7.5
-4.5,52.5,10.5
4.5,49.5,10.5
-4.5,49.5,10.5
-7.5,49.5,10.5
10.5,46.5,10.5
7.5,46.5,10.5
-4.5,46.5,10.5
-7.5,46.5,10.5
-10.5,46.5,10.5
7.5,43.5,10.5
-4.5,43.5,10.5
-7.5,43.5,10.5
-10.5,43.5,10.5
4.5,49.5,13.5
1.5,49.5,13.5
-1.5,49.5,13.5
-4.5,49.5,13.5
7.5,46.5,13.5
4.5,46.5,13.5
-4.5,46.5,13.5
-7.5,46.5,13.5
4.5,43.5,13.5
-4.5,43.5,13.5
-7.5,43.5,13.5
4.5,49.5,16.5
1.5,49.5,16.5
-4.5,49.5,16.5
7.5,46.5,16.5
4.5,46.5,16.5
-1.5,46.5,16.5
-4.5,46.5,16.5
-7.5,46.5,16.5
4.5,43.5,16.5
