vox1,vox2,weight
357,327,0.4434293483138265
357,353,0.4469429779138467
357,356,0.41112294116301995
360,359,0.4450276114344365
361,328,0.34330485583474735
361,354,0.4616732446721383
362,329,0.3623398666176232
362,354,0.3452040091762881
362,355,0.39987034547701894
362,361,0.5343657564616561
363,330,0.36545057707144535
363,356,0.39467786701930346
363,357,0.3301554175089783
364,331,0.35361995066404345
364,357,0.4708987169299759
364,363,0.4777555590927227
365,352,0.3438131196436885
365,359,0.333393060531116
366,359,0.3395541390354551
366,365,0.5051703232880392
367,333,0.42438021569580364
367,340,0.41096761570039275
367,359,0.4658007497538798
367,366,0.3639990998976262
368,165,0.3597775137780424
368,360,0.4460369480977225
368,367,0.4907774190908301
369,334,0.4063252746698119
369,361,0.475681254980481
370,335,0.37889712075544035
370,362,0.4028463238309567
370,369,0.4381746103833737
371,363,0.3313085661017548
371,370,0.5073191212126053
372,240,0.34240326450487374
372,365,0.5795698212571033
372,366,0.394324627853157
373,366,0.42556126201256633
373,372,0.4544506652892717
374,164,0.3444491232447495
374,165,0.3888194171968657
374,340,0.39359228283600217
374,367,0.3995174315436889
374,368,0.3488920523902989
374,373,0.3830894189302108
375,340,0.33452242433604984
375,368,0.4606512035735159
375,374,0.4700840508210303
376,343,0.3670081768314786
376,369,0.35787117415706254
377,344,0.4185323356690404
377,370,0.4612907065994896
377,371,0.3390371560700884
377,376,0.35040401371813096
378,119,0.3496469096694607
378,373,0.34163613375788743
379,374,0.3622074922104686
380,121,0.3457495373709066
380,176,0.35340949759443907
380,375,0.342505674871944
380,379,0.36592638895749063
384,350,0.33721247592845605
385,384,0.3495780791361876
388,354,0.35117385906719933
388,381,0.4688299203074433
389,351,0.37637764536453505
389,382,0.4063348383891629
389,388,0.355549186669647
390,352,0.36232903513936887
390,353,0.3431579100741158
390,383,0.5288978170707948
390,389,0.346452722899453
391,352,0.3424805996210907
391,353,0.37950856685636575
391,384,0.4576261318277417
391,390,0.34175012101425556
392,385,0.4415063377855714
392,391,0.391559554784608
395,386,0.3518991644298251
396,387,0.3859047206910385
397,198,0.33051773362450604
397,354,0.3994590794452016
397,388,0.5314185113432217
398,355,0.4094639072362049
398,389,0.4475850613173609
398,397,0.4705085429870304
399,198,0.36440079056357666
399,199,0.36078473953835916
399,352,0.35603499749748907
399,356,0.4459357473778622
399,390,0.4834744989445574
399,391,0.3491714343779168
399,397,0.33331815862245345
399,398,0.4135268200201603
400,198,0.39546605236264415
400,199,0.404016359271339
400,210,0.357468887604363
400,240,0.3404427151996761
400,278,0.33526229361388954
400,279,0.35739009282411
400,293,0.355422219375583
400,327,0.33478019547159366
400,356,0.3459984373140517
400,357,0.37620946248201187
400,361,0.34911424466003255
400,370,0.33229912625212404
400,371,0.3837198947917964
400,372,0.3436795384724973
400,390,0.39335837106591826
400,391,0.49745171230681007
400,397,0.3754185023596634
400,399,0.5817826880623572
401,394,0.4217590792416121
402,365,0.34421574873665933
403,358,0.339241021487443
403,402,0.39142087948270193
404,395,0.35419683613162195
404,403,0.39063132521028116
405,360,0.3481510001947328
405,396,0.4085985420467513
406,397,0.46825032129888583
407,161,0.3769716316969931
407,362,0.3531511338298674
407,370,0.3300890334467801
407,397,0.3667021228589062
407,398,0.4422794058548711
407,400,0.33124193844311955
407,406,0.4638761685046522
408,399,0.4043684325056729
409,198,0.34497546474734103
409,199,0.34838707093292176
409,364,0.42771853701092905
409,371,0.36787863689090355
409,399,0.41302821605077583
409,400,0.5738354891037801
409,408,0.4268188888975402
410,372,0.3445614940542578
411,164,0.47212315901880514
411,410,0.4714594856147913
412,164,0.33138332479408356
412,165,0.3872806218845249
412,411,0.4124431023141566
413,405,0.38640862693678346
413,412,0.38166296522124576
414,161,0.36681141099157033
414,167,0.35802652246369177
414,197,0.3993524502629688
414,369,0.35193700353512947
414,406,0.3726224418163974
415,165,0.38281934335708295
415,176,0.3641925109368085
415,375,0.3618424924238857
418,417,0.3669858119640661
420,416,0.3932259939193024
420,419,0.3765835055782443
421,417,0.42846956789542867
421,420,0.35521814605707464
423,381,0.34721054419024483
424,382,0.3991699969430822
424,419,0.33328386230330664
425,383,0.3836726021859714
425,420,0.37767427649204705
425,424,0.364453557949915
426,383,0.329892650510403
426,400,0.37236674890011545
426,409,0.361691213261291
426,410,0.3324251179363249
426,421,0.45155433074427415
426,425,0.3813373215023457
427,385,0.37955092774544424
427,426,0.47801330605578524
428,427,0.39108039695110103
430,422,0.3765466107161492
430,429,0.41878107690687333
432,386,0.354568454892418
434,388,0.4630629997373501
434,397,0.3993069353044207
434,423,0.41940731758254984
435,389,0.3535613961361211
435,424,0.4027052719755158
435,434,0.33540389183206076
436,383,0.33472217664871606
436,390,0.48497542664826615
436,399,0.33305128660274885
436,425,0.4377966608921992
436,426,0.38275882378536313
436,435,0.39198353925373897
437,245,0.32950597152145417
437,390,0.3915907006424981
437,391,0.3667164723833661
437,399,0.3600464656613562
437,400,0.39574945952327534
437,409,0.35059051096664673
437,410,0.3620082244642447
437,426,0.5253445109920922
437,427,0.3713852418817163
437,436,0.5017099855990131
438,392,0.38888067375206986
438,427,0.3751714109075884
438,437,0.42383817037657306
439,393,0.448222682971758
439,430,0.4666177813916033
440,431,0.38335597692395257
441,440,0.3966781274918468
442,441,0.41549339305517513
443,395,0.4098494615272436
443,432,0.38098933495667353
443,442,0.4118233944329206
444,433,0.39611909878709556
444,443,0.4267536926268443
445,221,0.4079978381160428
445,397,0.49084282733760665
445,434,0.43031403405827007
446,222,0.381905281681344
446,398,0.3578910427757585
446,435,0.3697739220497871
446,445,0.3302978849275989
447,195,0.4452197846330832
447,436,0.45837206549991444
447,437,0.36841031224944826
447,446,0.38534912319376935
448,245,0.34806559445657054
448,436,0.36361437218232323
448,437,0.47722726816236233
448,447,0.5552606783050362
449,440,0.37388904201839046
450,165,0.33008264011150174
450,437,0.3322022506371582
450,441,0.35108829287114585
450,449,0.4924573050129663
451,442,0.3554320884714775
451,450,0.4387702753217683
452,451,0.4044507585468186
453,405,0.3486786418114605
453,444,0.36600719746821236
453,452,0.41283774798869893
454,197,0.3831018945625498
454,226,0.3950420315272501
454,445,0.38847790371063634
455,195,0.36803295681610976
455,227,0.4453225187934258
455,446,0.35704278225052133
455,454,0.3519465302981897
457,456,0.38939725474099135
459,458,0.3848796914409651
460,459,0.34383627193432664
461,460,0.3802061912463093
464,459,0.39373304245167445
464,463,0.3915612253484257
465,416,0.4299176615357003
465,460,0.44903330286521576
465,464,0.43374460255691094
466,417,0.40837594351441414
466,461,0.43925467375367094
466,465,0.4033881769134602
467,418,0.3989362278428346
467,466,0.42730589531074603
470,462,0.3954949922693498
472,463,0.3683323620972298
473,419,0.3718278192064684
474,420,0.4174349491589798
474,425,0.3429489115966742
474,426,0.3649937426354553
474,465,0.4443231223414215
474,473,0.45715155713127925
475,421,0.451158716535649
475,465,0.3433555086507007
475,466,0.48614781883161023
475,474,0.3966033459097898
476,466,0.367444226462321
476,467,0.49483458173546957
476,475,0.44425916038042906
477,468,0.5302450527191623
478,429,0.34569241801432
479,478,0.34601521417367415
480,429,0.3525636092510091
480,479,0.4227410496215134
481,469,0.5769347747129916
482,470,0.37112448184643826
482,481,0.4298871851797177
483,471,0.3439083596668588
483,482,0.3474697843566265
484,423,0.34316009124767305
484,472,0.40610282466323183
485,424,0.4090354109118195
485,473,0.3941041652113911
486,425,0.4617241737826154
486,474,0.4389730938237799
486,485,0.42549614390182255
487,425,0.36433909793055513
487,426,0.36919599797419506
487,475,0.36679109247150765
487,486,0.3801690438329906
488,427,0.4026941848619805
488,474,0.329760910999124
488,476,0.3383138068283786
489,428,0.42793513637850195
489,477,0.38714544388757055
489,488,0.39641301867137746
490,429,0.48112631105208764
490,478,0.4871748451900393
490,480,0.33402938871315363
491,429,0.34990455913948876
491,430,0.4402738442041161
491,479,0.4552180672565102
491,480,0.3891154508555162
491,490,0.44890546762349315
492,431,0.3646130118955826
492,480,0.5724394870172683
492,491,0.481878815253997
493,480,0.39435160599763514
493,492,0.476065444281125
494,469,0.3385969971478588
494,480,0.3322773848912226
494,481,0.4787947282579769
494,493,0.5128166146334415
495,432,0.3991424740232006
495,469,0.3533979879519189
495,481,0.37982568865722116
495,482,0.41267557294316964
495,494,0.523159626595871
496,433,0.3519066902957442
496,495,0.4059053039889278
497,221,0.40410735868257025
497,434,0.3508432569424211
498,222,0.3524347755970525
498,435,0.4302863831990312
499,438,0.3325593176778716
500,439,0.47798715672363934
500,491,0.42570406678570977
501,439,0.3325611271902309
501,440,0.41775202254877314
501,492,0.4758381491162987
501,500,0.42234478988854596
502,441,0.4011967150664932
502,493,0.4114574516453926
502,501,0.4345611512421869
503,442,0.41707178050967314
503,494,0.4120316532756994
503,502,0.439698284090357
504,443,0.45277197400293606
504,495,0.42937876738638586
504,503,0.42662021618291496
505,496,0.3418386502535758
505,504,0.3763044440053817
507,225,0.3466101193064685
508,507,0.4087670123450196
509,234,0.42182814703493055
509,457,0.33432404817538025
509,508,0.3293353770791139
511,459,0.37384247345976057
512,462,0.39495973200813256
513,463,0.4494616623505891
513,510,0.4313663666562276
513,511,0.33547387416915603
514,464,0.44610894750723257
514,511,0.4697218624026966
514,513,0.3917128449382166
515,465,0.48317542799262103
515,466,0.36849990654417764
515,475,0.37359697576468376
515,514,0.5137485714521169
516,467,0.4553605545364087
517,516,0.4255584186231738
518,469,0.3562316114749336
518,470,0.3875232794480115
518,480,0.3850674206396995
518,481,0.33291417466704537
518,512,0.4295175993780557
520,472,0.3580342366946327
520,513,0.3647255223823043
522,475,0.4667688372736108
523,476,0.4781489547992039
523,516,0.4761914164225032
523,522,0.41655395603027934
524,477,0.3864273460639612
524,517,0.4308392167493831
524,523,0.4454791284208761
525,469,0.35167139472053477
